datetime,values
3/1/86,1.69
6/1/87,2.96
12/1/87,1.36
2/1/88,1.67
5/1/88,1.86
8/1/88,1.9
11/1/88,1.69
1/1/89,1.99
5/1/89,2.02
7/1/89,1.95
10/1/89,2.03
1/1/90,2.26
4/1/90,2.23
6/1/90,2.45
10/1/90,2.72
1/1/91,1.55
4/1/91,2.81
7/1/91,2.44
10/1/91,2.56
4/1/92,2.65
11/1/92,3.09
1/1/93,3.17
4/1/93,3
7/1/93,3.03
4/1/94,1.04
7/1/94,2.86
10/1/94,2.3
4/1/95,2.64
10/1/95,2.32
11/1/95,2.24
1/1/96,2.95
9/1/96,
7/1/97,
10/1/97,2.9
2/1/98,
2/1/00,3.3
3/1/00,
1/1/01,2.6
1/1/02,
1/1/03,4
1/1/04,3.5
1/1/05,3.9
1/1/06,3.36
1/1/07,3.13
10/19/08,3.2
11/17/08,
12/14/08,
1/18/09,3.1
1/25/09,
4/12/09,
5/3/09,
5/31/09,
7/5/09,
8/2/09,
8/31/09,
10/4/09,
11/8/09,
12/6/09,
1/10/10,
1/17/10,
2/7/10,
2/14/10,
3/7/10,
3/10/10,
4/4/10,
4/11/10,
5/23/10,
6/6/10,
6/13/10,3.1
7/11/10,
7/25/10,
8/8/10,
9/19/10,
10/18/10,
2/28/11,
4/18/11,1.4
12/4/11,
1/29/12,2.9
2/26/12,
3/18/12,
5/13/12,
6/25/12,
3/17/13,
4/21/13,
8/25/13,
9/15/13,2.4
3/16/14,
4/20/14,
5/11/14,2.8
7/13/14,
1/11/15,2.6
3/29/15,
10/14/15,
3/9/16,3.9
3/16/16,
5/3/17,
10/7/17,
10/14/17,
10/21/17,2.6
4/18/18,0.74
4/25/18,
7/15/18,
1/16/19,
