datetime,values
3/1/86,
6/1/87,
12/1/87,
2/1/88,
5/1/88,
8/1/88,
11/1/88,
1/1/89,
5/1/89,
7/1/89,
10/1/89,
1/1/90,
4/1/90,
6/1/90,
10/1/90,
1/1/91,
4/1/91,
7/1/91,
10/1/91,
4/1/92,
11/1/92,
1/1/93,
4/1/93,
7/1/93,
4/1/94,
7/1/94,
10/1/94,
4/1/95,
10/1/95,
11/1/95,
1/1/96,
9/1/96,3.5
7/1/97,
10/1/97,
2/1/98,
2/1/00,
3/1/00,
1/1/01,3.35
1/1/02,3.4
1/1/03,
1/1/04,3.6
1/1/05,3.68
1/1/06,3.45
1/1/07,3.4
10/19/08,
11/17/08,
12/14/08,
1/18/09,
1/25/09,3.8
4/12/09,
5/3/09,
5/31/09,
7/5/09,
8/2/09,
8/31/09,
10/4/09,
11/8/09,
12/6/09,
1/10/10,
1/17/10,
2/7/10,
2/14/10,
3/7/10,
3/10/10,
4/4/10,
4/11/10,3.9
5/23/10,
6/6/10,
6/13/10,
7/11/10,
7/25/10,
8/8/10,
9/19/10,
10/18/10,
2/28/11,3.6
4/18/11,
12/4/11,
1/29/12,
2/26/12,
3/18/12,
5/13/12,3.4
6/25/12,
3/17/13,3.3
4/21/13,
8/25/13,
9/15/13,
3/16/14,
4/20/14,3.3
5/11/14,
7/13/14,
1/11/15,
3/29/15,
10/14/15,3.2
3/9/16,
3/16/16,
5/3/17,
10/7/17,
10/14/17,3.2
10/21/17,
4/18/18,
4/25/18,
7/15/18,3.8
1/16/19,3.8
