datetime,values
3/1/86,3.02
6/1/87,4.61
12/1/87,2.05
2/1/88,2.33
5/1/88,2.55
8/1/88,2.95
11/1/88,2.16
1/1/89,3.3
5/1/89,3.12
7/1/89,3.01
10/1/89,2.46
1/1/90,3.03
4/1/90,3.27
6/1/90,3.29
10/1/90,
1/1/91,2.82
4/1/91,3.62
7/1/91,1.35
10/1/91,3.04
4/1/92,3.39
11/1/92,3.26
1/1/93,3.68
4/1/93,3.61
7/1/93,3.52
4/1/94,0.67
7/1/94,3.31
10/1/94,3.07
4/1/95,3.07
10/1/95,3.26
11/1/95,2.98
1/1/96,2.55
9/1/96,
7/1/97,
10/1/97,3.12
2/1/98,
2/1/00,
3/1/00,3.7
1/1/01,3.4
1/1/02,
1/1/03,
1/1/04,3.8
1/1/05,
1/1/06,
1/1/07,
10/19/08,
11/17/08,
12/14/08,3.4
1/18/09,
1/25/09,
4/12/09,3.6
5/3/09,
5/31/09,
7/5/09,
8/2/09,3.8
8/31/09,3.9
10/4/09,3.6
11/8/09,4
12/6/09,3.7
1/10/10,3.6
1/17/10,
2/7/10,3.7
2/14/10,
3/7/10,3.5
3/10/10,
4/4/10,3.5
4/11/10,
5/23/10,3.7
6/6/10,3.5
6/13/10,
7/11/10,3.5
7/25/10,
8/8/10,3.5
9/19/10,3.8
10/18/10,3.7
2/28/11,
4/18/11,
12/4/11,
1/29/12,
2/26/12,3.6
3/18/12,
5/13/12,
6/25/12,
3/17/13,
4/21/13,
8/25/13,3.7
9/15/13,
3/16/14,
4/20/14,
5/11/14,
7/13/14,3.8
1/11/15,
3/29/15,3.6
10/14/15,
3/9/16,
3/16/16,3.9
5/3/17,3.6
10/7/17,4
10/14/17,
10/21/17,
4/18/18,
4/25/18,4.2
7/15/18,
1/16/19,
